target_id,identification,round,target,interface,p_id,p_type,p_rank,name,uid,model,e,nclash,threshold,fnat,fnonnat,f1,dockq,lrms,irms,srms,ia,dL,thetaL,nchain,(seqid//),fIR_L,fIR_R,fOP_L,fOP_R,mrms_L,mrms_R,classification,main_classification,stars,clashes,low_id,md5
T186.1,AF.M01,52,186,1,AF.,O,0,AF.M01,-1,1,0,30,61,0.8814,0.1261,0.8776,0.8735,1.8658,0.7847,1.5651,3679.6,0.88,2.18,0,(),0.9149,0.8909,0.0652,0.0392,1.4442,0.7747,high,high,3,0,0,(null)
T186.1,T186_P02.M01,52,186,1,P02,P,2,S_Chang,555,1,1,19,61,0.3390,0.7241,0.3043,0.3268,6.9130,7.4034,8.8436,13306.3,3.07,7.02,0,(),0.8298,0.6727,0.7383,0.4478,5.6683,7.7421,acceptable,acceptable,1,0,0,(null)
T186.1,T186_P02.M02,52,186,1,P02,P,2,S_Chang,555,2,1,15,61,0.3305,0.7000,0.3143,0.3201,7.0710,7.4125,8.8668,13156.9,3.43,6.96,0,(),0.7660,0.6545,0.7517,0.4462,5.6677,7.7467,acceptable,acceptable,1,0,0,(null)
T186.1,T186_P02.M03,52,186,1,P02,P,2,S_Chang,555,3,1,10,61,0.3051,0.6975,0.3040,0.3050,7.3822,7.3656,8.8611,12782.8,4.03,7.00,0,(),0.7447,0.6364,0.7535,0.4167,5.6663,7.7493,acceptable,acceptable,1,0,0,(null)
T186.1,T186_P02.M04,52,186,1,P02,P,2,S_Chang,555,4,1,9,61,0.2627,0.7130,0.2745,0.2964,7.1215,7.4930,8.9339,12844.1,3.53,6.98,0,(),0.7447,0.5636,0.7552,0.4151,5.6670,7.7534,acceptable,acceptable,1,0,0,(null)
T186.1,T186_P02.M05,52,186,1,P02,P,2,S_Chang,555,5,1,15,61,0.3305,0.7000,0.3143,0.3200,7.0743,7.4157,8.8696,13162.5,3.43,6.98,0,(),0.7872,0.6545,0.7466,0.4462,5.6676,7.7473,acceptable,acceptable,1,0,0,(null)
T186.1,T186_P02.M06,52,186,1,P02,P,2,S_Chang,555,6,1,13,61,0.2966,0.7348,0.2801,0.3020,7.3631,7.5698,8.9931,13147.2,3.99,6.99,0,(),0.7872,0.6182,0.7466,0.4516,5.6696,7.7393,acceptable,acceptable,1,0,0,(null)
T186.1,T186_P02.M07,52,186,1,P02,P,2,S_Chang,555,7,1,15,61,0.3390,0.6947,0.3211,0.3232,7.0669,7.4140,8.8658,13086.6,3.42,6.97,0,(),0.7660,0.6545,0.7517,0.4462,5.6678,7.7476,acceptable,acceptable,1,0,0,(null)
T186.1,T186_P02.M08,52,186,1,P02,P,2,S_Chang,555,8,1,9,61,0.3051,0.7143,0.2952,0.2941,7.8616,7.5221,8.9806,12905.7,4.84,7.00,0,(),0.7660,0.6364,0.7517,0.4444,5.6688,7.7393,acceptable,acceptable,1,0,0,(null)
T186.1,T186_P02.M09,52,186,1,P02,P,2,S_Chang,555,9,1,15,61,0.3390,0.6947,0.3211,0.3229,7.0807,7.4172,8.8715,13010.2,3.44,7.00,0,(),0.7660,0.6545,0.7500,0.4462,5.6676,7.7479,acceptable,acceptable,1,0,0,(null)
T186.1,T186_P02.M10,52,186,1,P02,P,2,S_Chang,555,10,1,10,61,0.2627,0.7373,0.2630,0.3088,6.6085,7.3277,8.7848,13015.3,2.32,7.00,0,(),0.8085,0.6364,0.7397,0.4355,5.6661,7.7515,acceptable,acceptable,1,0,0,(null)
T186.1,T186_P02.M100,52,186,1,P02,P,2,S_Chang,555,100,0,17,61,0.3390,0.6947,0.3211,0.3229,7.0799,7.4167,8.8722,12180.9,3.44,6.98,0,(),0.7660,0.6545,0.7353,0.4462,5.6675,7.7435,acceptable,acceptable,1,0,0,(null)
T186.1,T186_P02.M11,52,186,1,P02,P,2,S_Chang,555,11,0,15,61,0.3390,0.6947,0.3211,0.3228,7.0847,7.4163,8.8726,13036.7,3.45,7.00,0,(),0.7660,0.6545,0.7483,0.4462,5.6680,7.7472,acceptable,acceptable,1,0,0,(null)
T186.1,T186_P02.M12,52,186,1,P02,P,2,S_Chang,555,12,0,15,61,0.3305,0.7000,0.3143,0.3201,7.0735,7.4158,8.8701,12946.4,3.43,6.98,0,(),0.7660,0.6545,0.7517,0.4462,5.6675,7.7486,acceptable,acceptable,1,0,0,(null)
T186.1,T186_P02.M13,52,186,1,P02,P,2,S_Chang,555,13,0,15,61,0.3390,0.6947,0.3211,0.3231,7.0710,7.4156,8.8684,13149.5,3.42,6.98,0,(),0.7660,0.6545,0.7517,0.4462,5.6672,7.7465,acceptable,acceptable,1,0,0,(null)
T186.1,T186_P02.M14,52,186,1,P02,P,2,S_Chang,555,14,0,14,61,0.3305,0.7451,0.2877,0.3196,7.1141,7.2824,8.7836,13018.6,3.50,7.05,0,(),0.8511,0.6727,0.7297,0.4638,5.6635,7.7451,acceptable,acceptable,1,0,0,(null)
T186.1,T186_P02.M15,52,186,1,P02,P,2,S_Chang,555,15,0,15,61,0.3390,0.6947,0.3211,0.3230,7.0768,7.4144,8.8694,13001.3,3.44,6.97,0,(),0.7660,0.6545,0.7517,0.4462,5.6682,7.7483,acceptable,acceptable,1,0,0,(null)
T186.1,T186_P02.M16,52,186,1,P02,P,2,S_Chang,555,16,0,3,61,0.2542,0.6809,0.2828,0.2742,7.9938,7.5394,9.0120,12261.9,5.06,6.98,0,(),0.7447,0.5818,0.7500,0.4182,5.6664,7.7523,acceptable,acceptable,1,0,0,(null)
T186.1,T186_P02.M17,52,186,1,P02,P,2,S_Chang,555,17,0,3,61,0.2542,0.6809,0.2828,0.2742,7.9938,7.5394,9.0120,12261.9,5.06,6.98,0,(),0.7447,0.5818,0.7500,0.4182,5.6664,7.7523,acceptable,acceptable,1,0,0,(null)
T186.1,T186_P02.M18,52,186,1,P02,P,2,S_Chang,555,18,0,16,61,0.3390,0.6923,0.3228,0.3229,7.0805,7.4168,8.8719,12709.1,3.44,7.00,0,(),0.7660,0.6545,0.7483,0.4462,5.6674,7.7485,acceptable,acceptable,1,0,0,(null)
T186.1,T186_P02.M19,52,186,1,P02,P,2,S_Chang,555,19,0,15,61,0.3390,0.6947,0.3211,0.3234,7.0589,7.4104,8.8638,13079.2,3.41,6.93,0,(),0.7660,0.6545,0.7517,0.4462,5.6687,7.7483,acceptable,acceptable,1,0,0,(null)
T186.1,T186_P02.M20,52,186,1,P02,P,2,S_Chang,555,20,0,15,61,0.3305,0.7000,0.3143,0.3200,7.0752,7.4134,8.8680,13169.2,3.43,6.97,0,(),0.7872,0.6545,0.7448,0.4462,5.6680,7.7461,acceptable,acceptable,1,0,0,(null)
T186.1,T186_P02.M21,52,186,1,P02,P,2,S_Chang,555,21,0,4,61,0.1525,0.7273,0.1961,0.2554,7.3252,7.4251,8.9038,11929.0,3.92,6.99,0,(),0.7447,0.5091,0.7500,0.3913,5.6656,7.7527,acceptable,acceptable,1,0,0,(null)
T186.1,T186_P02.M22,52,186,1,P02,P,2,S_Chang,555,22,0,10,61,0.2288,0.7500,0.2390,0.2876,6.9873,7.6517,9.0277,13046.5,3.24,6.98,0,(),0.8298,0.6000,0.7400,0.4211,5.6692,7.7505,acceptable,acceptable,1,0,0,(null)
T186.1,T186_P02.M23,52,186,1,P02,P,2,S_Chang,555,23,0,10,61,0.2288,0.7500,0.2390,0.2876,6.9873,7.6517,9.0277,13046.5,3.24,6.98,0,(),0.8298,0.6000,0.7400,0.4211,5.6692,7.7505,acceptable,acceptable,1,0,0,(null)
T186.1,T186_P02.M24,52,186,1,P02,P,2,S_Chang,555,24,0,7,61,0.2288,0.7453,0.2413,0.2861,7.1184,7.2066,8.7290,12328.4,3.51,7.04,0,(),0.7872,0.6000,0.7394,0.4500,5.6630,7.7478,acceptable,acceptable,1,0,0,(null)
T186.1,T186_P02.M25,52,186,1,P02,P,2,S_Chang,555,25,0,15,61,0.3390,0.6970,0.3200,0.3230,7.0765,7.4153,8.8685,13135.6,3.43,6.98,0,(),0.7872,0.6545,0.7431,0.4462,5.6682,7.7464,acceptable,acceptable,1,0,0,(null)
T186.1,T186_P02.M26,52,186,1,P02,P,2,S_Chang,555,26,0,9,61,0.2881,0.7589,0.2624,0.3211,6.4563,7.2477,8.7054,13111.2,1.82,7.04,0,(),0.8511,0.6545,0.7351,0.4545,5.6662,7.7470,acceptable,acceptable,1,0,0,(null)
T186.1,T186_P02.M27,52,186,1,P02,P,2,S_Chang,555,27,0,5,61,0.1441,0.7424,0.1848,0.2521,7.3062,7.6268,9.0413,11964.6,3.89,6.97,0,(),0.7447,0.4727,0.7500,0.4583,5.6684,7.7522,acceptable,acceptable,1,0,0,(null)
T186.1,T186_P02.M28,52,186,1,P02,P,2,S_Chang,555,28,0,15,61,0.3305,0.7000,0.3143,0.3203,7.0623,7.4117,8.8638,12882.5,3.42,6.94,0,(),0.7660,0.6545,0.7500,0.4462,5.6681,7.7493,acceptable,acceptable,1,0,0,(null)
T186.1,T186_P02.M29,52,186,1,P02,P,2,S_Chang,555,29,0,15,61,0.3475,0.6894,0.3280,0.3260,7.0600,7.4112,8.8637,13019.6,3.41,6.95,0,(),0.7660,0.6545,0.7517,0.4462,5.6677,7.7458,acceptable,acceptable,1,0,0,(null)
T186.1,T186_P02.M30,52,186,1,P02,P,2,S_Chang,555,30,0,15,61,0.3390,0.6947,0.3211,0.3231,7.0709,7.4137,8.8680,12744.1,3.43,6.96,0,(),0.7660,0.6545,0.7500,0.4462,5.6676,7.7480,acceptable,acceptable,1,0,0,(null)
T186.1,T186_P02.M31,52,186,1,P02,P,2,S_Chang,555,31,0,15,61,0.3390,0.6947,0.3211,0.3228,7.0830,7.4162,8.8713,12641.9,3.44,7.00,0,(),0.7660,0.6545,0.7465,0.4462,5.6678,7.7488,acceptable,acceptable,1,0,0,(null)
T186.1,T186_P02.M32,52,186,1,P02,P,2,S_Chang,555,32,0,15,61,0.3305,0.7000,0.3143,0.3202,7.0658,7.4137,8.8656,13119.1,3.42,6.96,0,(),0.7660,0.6545,0.7517,0.4462,5.6670,7.7456,acceptable,acceptable,1,0,0,(null)
T186.1,T186_P02.M33,52,186,1,P02,P,2,S_Chang,555,33,0,15,61,0.3390,0.6947,0.3211,0.3228,7.0828,7.4165,8.8689,12870.4,3.44,6.99,0,(),0.7660,0.6545,0.7483,0.4462,5.6682,7.7477,acceptable,acceptable,1,0,0,(null)
T186.1,T186_P02.M34,52,186,1,P02,P,2,S_Chang,555,34,0,16,61,0.3390,0.6923,0.3228,0.3230,7.0755,7.4159,8.8703,12632.1,3.43,6.98,0,(),0.7660,0.6545,0.7500,0.4462,5.6676,7.7491,acceptable,acceptable,1,0,0,(null)
T186.1,T186_P02.M35,52,186,1,P02,P,2,S_Chang,555,35,0,6,61,0.1695,0.7468,0.2034,0.2773,6.6015,7.5238,8.9186,12612.8,2.30,6.97,0,(),0.7872,0.5273,0.7413,0.4314,5.6687,7.7532,acceptable,acceptable,1,0,0,(null)
T186.1,T186_P02.M36,52,186,1,P02,P,2,S_Chang,555,36,0,17,61,0.3475,0.6870,0.3291,0.3261,7.0558,7.4113,8.8623,12997.3,3.40,6.93,0,(),0.7660,0.6545,0.7517,0.4375,5.6677,7.7486,acceptable,acceptable,1,0,0,(null)
T186.1,T186_P02.M37,52,186,1,P02,P,2,S_Chang,555,37,0,7,61,0.0932,0.7442,0.1364,0.2377,7.2079,7.5104,8.9552,11265.1,3.70,6.98,0,(),0.7660,0.4182,0.7429,0.4250,5.6659,7.7513,incorrect,incorrect,0,0,0,(null)
T186.1,T186_P02.M38,52,186,1,P02,P,2,S_Chang,555,38,0,15,61,0.3390,0.6947,0.3211,0.3231,7.0700,7.4152,8.8690,12316.3,3.43,6.96,0,(),0.7660,0.6545,0.7410,0.4462,5.6678,7.7478,acceptable,acceptable,1,0,0,(null)
T186.1,T186_P02.M39,52,186,1,P02,P,2,S_Chang,555,39,0,15,61,0.3390,0.6947,0.3211,0.3233,7.0636,7.4136,8.8672,12428.5,3.41,6.95,0,(),0.7660,0.6545,0.7465,0.4462,5.6678,7.7482,acceptable,acceptable,1,0,0,(null)
T186.1,T186_P02.M40,52,186,1,P02,P,2,S_Chang,555,40,0,16,61,0.3390,0.6923,0.3228,0.3230,7.0761,7.4157,8.8677,13023.4,3.43,6.99,0,(),0.7660,0.6545,0.7517,0.4462,5.6683,7.7487,acceptable,acceptable,1,0,0,(null)
T186.1,T186_P02.M41,52,186,1,P02,P,2,S_Chang,555,41,0,16,61,0.3390,0.6923,0.3228,0.3229,7.0803,7.4167,8.8713,12166.1,3.44,6.98,0,(),0.7660,0.6545,0.7353,0.4375,5.6672,7.7499,acceptable,acceptable,1,0,0,(null)
T186.1,T186_P02.M42,52,186,1,P02,P,2,S_Chang,555,42,0,16,61,0.3390,0.6947,0.3211,0.3229,7.0789,7.4159,8.8702,12160.0,3.44,6.97,0,(),0.7660,0.6545,0.7353,0.4462,5.6676,7.7476,acceptable,acceptable,1,0,0,(null)
T186.1,T186_P02.M43,52,186,1,P02,P,2,S_Chang,555,43,0,16,61,0.3390,0.6947,0.3211,0.3228,7.0839,7.4167,8.8710,12161.2,3.45,7.00,0,(),0.7660,0.6545,0.7353,0.4462,5.6676,7.7502,acceptable,acceptable,1,0,0,(null)
T186.1,T186_P02.M44,52,186,1,P02,P,2,S_Chang,555,44,0,16,61,0.3305,0.6977,0.3154,0.3200,7.0775,7.4168,8.8706,12271.4,3.44,6.98,0,(),0.7660,0.6545,0.7372,0.4462,5.6676,7.7479,acceptable,acceptable,1,0,0,(null)
T186.1,T186_P02.M45,52,186,1,P02,P,2,S_Chang,555,45,0,15,61,0.3390,0.6947,0.3211,0.3228,7.0852,7.4166,8.8707,12189.4,3.45,7.00,0,(),0.7660,0.6545,0.7353,0.4462,5.6678,7.7498,acceptable,acceptable,1,0,0,(null)
T186.1,T186_P02.M46,52,186,1,P02,P,2,S_Chang,555,46,0,15,61,0.3390,0.6947,0.3211,0.3229,7.0794,7.4167,8.8712,12182.2,3.44,6.98,0,(),0.7660,0.6545,0.7353,0.4462,5.6675,7.7467,acceptable,acceptable,1,0,0,(null)
T186.1,T186_P02.M47,52,186,1,P02,P,2,S_Chang,555,47,0,16,61,0.3390,0.6947,0.3211,0.3229,7.0809,7.4143,8.8701,12160.3,3.45,6.96,0,(),0.7660,0.6545,0.7353,0.4462,5.6674,7.7462,acceptable,acceptable,1,0,0,(null)
T186.1,T186_P02.M48,52,186,1,P02,P,2,S_Chang,555,48,0,15,61,0.3305,0.7000,0.3143,0.3198,7.0826,7.4160,8.8709,12157.7,3.45,6.99,0,(),0.7660,0.6545,0.7353,0.4462,5.6677,7.7476,acceptable,acceptable,1,0,0,(null)
T186.1,T186_P02.M49,52,186,1,P02,P,2,S_Chang,555,49,0,15,61,0.3390,0.6947,0.3211,0.3228,7.0841,7.4167,8.8724,12194.5,3.45,7.00,0,(),0.7660,0.6545,0.7391,0.4462,5.6677,7.7479,acceptable,acceptable,1,0,0,(null)
T186.1,T186_P02.M50,52,186,1,P02,P,2,S_Chang,555,50,0,16,61,0.3390,0.6947,0.3211,0.3229,7.0787,7.4140,8.8701,12173.5,3.44,6.99,0,(),0.7660,0.6545,0.7353,0.4462,5.6677,7.7476,acceptable,acceptable,1,0,0,(null)
T186.1,T186_P02.M51,52,186,1,P02,P,2,S_Chang,555,51,0,15,61,0.3390,0.6947,0.3211,0.3229,7.0793,7.4146,8.8678,12211.5,3.44,7.00,0,(),0.7660,0.6545,0.7372,0.4286,5.6667,7.7475,acceptable,acceptable,1,0,0,(null)
T186.1,T186_P02.M52,52,186,1,P02,P,2,S_Chang,555,52,0,15,61,0.3390,0.6947,0.3211,0.3229,7.0821,7.4154,8.8700,12180.8,3.45,6.98,0,(),0.7660,0.6545,0.7353,0.4462,5.6677,7.7462,acceptable,acceptable,1,0,0,(null)
T186.1,T186_P02.M53,52,186,1,P02,P,2,S_Chang,555,53,0,15,61,0.3390,0.6947,0.3211,0.3229,7.0800,7.4162,8.8703,12224.2,3.44,6.99,0,(),0.7660,0.6545,0.7353,0.4462,5.6677,7.7498,acceptable,acceptable,1,0,0,(null)
T186.1,T186_P02.M54,52,186,1,P02,P,2,S_Chang,555,54,0,16,61,0.3390,0.6923,0.3228,0.3229,7.0788,7.4146,8.8682,12162.0,3.44,6.96,0,(),0.7660,0.6545,0.7353,0.4462,5.6676,7.7451,acceptable,acceptable,1,0,0,(null)
T186.1,T186_P02.M55,52,186,1,P02,P,2,S_Chang,555,55,0,16,61,0.3305,0.6977,0.3154,0.3199,7.0804,7.4152,8.8725,12287.7,3.44,6.98,0,(),0.7660,0.6545,0.7353,0.4462,5.6676,7.7477,acceptable,acceptable,1,0,0,(null)
T186.1,T186_P02.M56,52,186,1,P02,P,2,S_Chang,555,56,0,16,61,0.3390,0.6947,0.3211,0.3228,7.0827,7.4154,8.8701,12247.4,3.45,6.99,0,(),0.7660,0.6545,0.7353,0.4462,5.6677,7.7467,acceptable,acceptable,1,0,0,(null)
T186.1,T186_P02.M57,52,186,1,P02,P,2,S_Chang,555,57,0,16,61,0.3390,0.6899,0.3239,0.3229,7.0787,7.4162,8.8709,12161.2,3.44,6.98,0,(),0.7660,0.6545,0.7353,0.4375,5.6672,7.7468,acceptable,acceptable,1,0,0,(null)
T186.1,T186_P02.M58,52,186,1,P02,P,2,S_Chang,555,58,0,4,61,0.0508,0.8696,0.0733,0.1471,11.3751,8.2603,9.7572,10142.7,9.02,11.30,0,(),0.6170,0.3091,0.7752,0.3929,5.6646,7.7471,incorrect,incorrect,0,0,0,(null)
T186.1,T186_P02.M59,52,186,1,P02,P,2,S_Chang,555,59,0,15,61,0.3390,0.6947,0.3211,0.3229,7.0797,7.4160,8.8700,12168.2,3.44,6.99,0,(),0.7660,0.6545,0.7353,0.4462,5.6676,7.7473,acceptable,acceptable,1,0,0,(null)
T186.1,T186_P02.M60,52,186,1,P02,P,2,S_Chang,555,60,0,2,61,0.0508,0.8500,0.0761,0.1480,11.3278,8.1328,9.6209,10266.1,8.95,11.32,0,(),0.6383,0.3273,0.7692,0.3793,5.6644,7.7482,incorrect,incorrect,0,0,0,(null)
T186.1,T186_P02.M61,52,186,1,P02,P,2,S_Chang,555,61,0,16,61,0.3390,0.6923,0.3228,0.3230,7.0755,7.4165,8.8694,12213.4,3.43,6.99,0,(),0.7660,0.6545,0.7391,0.4375,5.6672,7.7483,acceptable,acceptable,1,0,0,(null)
T186.1,T186_P02.M62,52,186,1,P02,P,2,S_Chang,555,62,0,16,61,0.3390,0.6947,0.3211,0.3228,7.0830,7.4167,8.8697,12213.4,3.44,7.00,0,(),0.7660,0.6545,0.7353,0.4462,5.6677,7.7536,acceptable,acceptable,1,0,0,(null)
T186.1,T186_P02.M63,52,186,1,P02,P,2,S_Chang,555,63,0,16,61,0.3305,0.7023,0.3132,0.3199,7.0803,7.4131,8.8688,12380.4,3.44,6.97,0,(),0.7660,0.6545,0.7353,0.4462,5.6676,7.7457,acceptable,acceptable,1,0,0,(null)
T186.1,T186_P02.M64,52,186,1,P02,P,2,S_Chang,555,64,0,15,61,0.3390,0.6947,0.3211,0.3229,7.0778,7.4164,8.8707,12214.0,3.44,6.98,0,(),0.7660,0.6545,0.7353,0.4462,5.6677,7.7463,acceptable,acceptable,1,0,0,(null)
T186.1,T186_P02.M65,52,186,1,P02,P,2,S_Chang,555,65,0,16,61,0.3390,0.6923,0.3228,0.3230,7.0778,7.4144,8.8698,12363.8,3.44,6.98,0,(),0.7660,0.6545,0.7353,0.4375,5.6674,7.7457,acceptable,acceptable,1,0,0,(null)
T186.1,T186_P02.M66,52,186,1,P02,P,2,S_Chang,555,66,0,0,61,0.0169,0.9286,0.0274,0.1396,11.1195,8.1128,9.5940,9469.5,7.83,15.75,0,(),0.5319,0.2000,0.7934,0.4762,5.6652,7.7478,incorrect,incorrect,0,0,0,(null)
T186.1,T186_P02.M67,52,186,1,P02,P,2,S_Chang,555,67,0,15,61,0.3305,0.7000,0.3143,0.3198,7.0837,7.4157,8.8659,12315.9,3.44,7.00,0,(),0.7660,0.6364,0.7353,0.4531,5.6676,7.7473,acceptable,acceptable,1,0,0,(null)
T186.1,T186_P02.M68,52,186,1,P02,P,2,S_Chang,555,68,0,15,61,0.3390,0.6947,0.3211,0.3229,7.0781,7.4151,8.8688,12326.1,3.44,6.97,0,(),0.7660,0.6545,0.7353,0.4462,5.6678,7.7439,acceptable,acceptable,1,0,0,(null)
T186.1,T186_P02.M69,52,186,1,P02,P,2,S_Chang,555,69,0,15,61,0.3305,0.7000,0.3143,0.3199,7.0822,7.4142,8.8606,12385.3,3.44,6.99,0,(),0.7660,0.6364,0.7353,0.4444,5.6676,7.7464,acceptable,acceptable,1,0,0,(null)
T186.1,T186_P02.M70,52,186,1,P02,P,2,S_Chang,555,70,0,2,61,0.0339,0.9184,0.0481,0.1306,12.0868,9.0202,10.3983,10025.3,9.09,16.36,0,(),0.6596,0.2364,0.7559,0.4583,5.6636,7.7451,incorrect,incorrect,0,0,0,(null)
T186.1,T186_P02.M71,52,186,1,P02,P,2,S_Chang,555,71,0,15,61,0.3390,0.6970,0.3200,0.3230,7.0755,7.4139,8.8683,12377.1,3.43,6.97,0,(),0.7660,0.6545,0.7353,0.4462,5.6677,7.7456,acceptable,acceptable,1,0,0,(null)
T186.1,T186_P02.M72,52,186,1,P02,P,2,S_Chang,555,72,0,15,61,0.3305,0.7000,0.3143,0.3199,7.0793,7.4144,8.8682,12156.2,3.44,6.98,0,(),0.7660,0.6545,0.7353,0.4462,5.6678,7.7466,acceptable,acceptable,1,0,0,(null)
T186.1,T186_P02.M73,52,186,1,P02,P,2,S_Chang,555,73,0,15,61,0.3305,0.7000,0.3143,0.3198,7.0834,7.4147,8.8679,12157.6,3.45,6.99,0,(),0.7660,0.6545,0.7353,0.4462,5.6677,7.7468,acceptable,acceptable,1,0,0,(null)
T186.1,T186_P02.M74,52,186,1,P02,P,2,S_Chang,555,74,0,15,61,0.3305,0.7000,0.3143,0.3199,7.0794,7.4134,8.8644,12155.5,3.44,6.97,0,(),0.7660,0.6545,0.7353,0.4462,5.6677,7.7456,acceptable,acceptable,1,0,0,(null)
T186.1,T186_P02.M75,52,186,1,P02,P,2,S_Chang,555,75,0,3,61,0.0424,0.8958,0.0598,0.0937,16.7382,7.9739,9.3937,9947.0,13.53,22.98,0,(),0.6809,0.2545,0.7440,0.5333,5.6669,7.7410,incorrect,incorrect,0,0,0,(null)
T186.1,T186_P02.M76,52,186,1,P02,P,2,S_Chang,555,76,0,15,61,0.3390,0.6923,0.3228,0.3229,7.0809,7.4194,8.8789,12301.1,3.44,6.99,0,(),0.7660,0.6545,0.7353,0.4375,5.6670,7.7480,acceptable,acceptable,1,0,0,(null)
T186.1,T186_P02.M77,52,186,1,P02,P,2,S_Chang,555,77,0,3,61,0.0593,0.8679,0.0815,0.0941,17.5865,8.0178,9.4642,10127.0,14.57,22.97,0,(),0.6809,0.2909,0.7440,0.5294,5.6683,7.7310,incorrect,incorrect,0,0,0,(null)
T186.1,T186_P02.M78,52,186,1,P02,P,2,S_Chang,555,78,0,16,61,0.3305,0.6977,0.3154,0.3200,7.0742,7.4130,8.8692,12269.6,3.44,6.96,0,(),0.7660,0.6545,0.7353,0.4462,5.6675,7.7453,acceptable,acceptable,1,0,0,(null)
T186.1,T186_P02.M79,52,186,1,P02,P,2,S_Chang,555,79,0,2,61,0.0339,0.8857,0.0524,0.0824,18.0990,8.1691,9.5924,9632.7,15.18,22.98,0,(),0.6170,0.2545,0.7583,0.5333,5.6666,7.7369,incorrect,incorrect,0,0,0,(null)
T186.1,T186_P02.M80,52,186,1,P02,P,2,S_Chang,555,80,0,3,61,0.0424,0.8889,0.0609,0.0810,18.8537,8.2241,9.6218,9996.4,16.07,22.99,0,(),0.6596,0.3091,0.7480,0.5000,5.6679,7.7300,incorrect,incorrect,0,0,0,(null)
T186.1,T186_P02.M81,52,186,1,P02,P,2,S_Chang,555,81,0,2,61,0.0763,0.8571,0.0993,0.0845,20.7418,8.0308,9.4928,10312.5,18.19,24.05,0,(),0.7447,0.4000,0.7244,0.5111,5.6690,7.7356,incorrect,incorrect,0,0,0,(null)
T186.1,T186_P02.M82,52,186,1,P02,P,2,S_Chang,555,82,0,15,61,0.3305,0.7000,0.3143,0.3198,7.0855,7.4156,8.8697,12154.3,3.45,6.98,0,(),0.7660,0.6545,0.7353,0.4462,5.6678,7.7432,acceptable,acceptable,1,0,0,(null)
T186.1,T186_P02.M83,52,186,1,P02,P,2,S_Chang,555,83,0,15,61,0.3305,0.7000,0.3143,0.3199,7.0818,7.4134,8.8695,12154.5,3.45,6.97,0,(),0.7660,0.6545,0.7353,0.4462,5.6677,7.7436,acceptable,acceptable,1,0,0,(null)
T186.1,T186_P02.M84,52,186,1,P02,P,2,S_Chang,555,84,0,15,61,0.3305,0.7000,0.3143,0.3198,7.0850,7.4144,8.8712,12262.9,3.46,6.96,0,(),0.7660,0.6545,0.7353,0.4462,5.6678,7.7434,acceptable,acceptable,1,0,0,(null)
T186.1,T186_P02.M85,52,186,1,P02,P,2,S_Chang,555,85,0,15,61,0.3390,0.6923,0.3228,0.3228,7.0832,7.4147,8.8691,12157.3,3.45,6.98,0,(),0.7660,0.6545,0.7353,0.4286,5.6672,7.7453,acceptable,acceptable,1,0,0,(null)
T186.1,T186_P02.M86,52,186,1,P02,P,2,S_Chang,555,86,0,15,61,0.3390,0.6947,0.3211,0.3230,7.0772,7.4164,8.8710,12342.8,3.44,6.98,0,(),0.7660,0.6545,0.7353,0.4462,5.6678,7.7455,acceptable,acceptable,1,0,0,(null)
T186.1,T186_P02.M87,52,186,1,P02,P,2,S_Chang,555,87,0,16,61,0.3390,0.6923,0.3228,0.3230,7.0747,7.4160,8.8717,12164.2,3.43,6.97,0,(),0.7660,0.6545,0.7353,0.4462,5.6676,7.7449,acceptable,acceptable,1,0,0,(null)
T186.1,T186_P02.M88,52,186,1,P02,P,2,S_Chang,555,88,0,4,61,0.0000,1.0000,0.0000,0.0514,21.5486,10.6106,11.8940,9832.9,18.44,29.28,0,(),0.6170,0.2727,0.7642,0.5000,5.6627,7.7466,incorrect,incorrect,0,0,0,(null)
T186.1,T186_P02.M89,52,186,1,P02,P,2,S_Chang,555,89,0,0,61,0.0508,0.8776,0.0719,0.0654,22.5095,10.4022,11.4820,10958.1,18.33,34.14,0,(),0.7234,0.2909,0.7671,0.5000,5.6717,7.7405,incorrect,incorrect,0,0,0,(null)
T186.1,T186_P02.M90,52,186,1,P02,P,2,S_Chang,555,90,0,16,61,0.3390,0.6947,0.3211,0.3229,7.0797,7.4163,8.8706,12184.5,3.44,6.98,0,(),0.7660,0.6545,0.7353,0.4375,5.6675,7.7463,acceptable,acceptable,1,0,0,(null)
T186.1,T186_P02.M91,52,186,1,P02,P,2,S_Chang,555,91,0,15,61,0.3305,0.7000,0.3143,0.3198,7.0833,7.4156,8.8704,12209.5,3.45,6.97,0,(),0.7660,0.6545,0.7353,0.4462,5.6677,7.7424,acceptable,acceptable,1,0,0,(null)
T186.1,T186_P02.M92,52,186,1,P02,P,2,S_Chang,555,92,0,15,61,0.3305,0.7000,0.3143,0.3199,7.0777,7.4153,8.8696,12220.7,3.44,6.97,0,(),0.7660,0.6545,0.7353,0.4462,5.6679,7.7439,acceptable,acceptable,1,0,0,(null)
T186.1,T186_P02.M93,52,186,1,P02,P,2,S_Chang,555,93,0,15,61,0.3305,0.7000,0.3143,0.3199,7.0777,7.4157,8.8697,12199.1,3.44,6.97,0,(),0.7660,0.6545,0.7353,0.4462,5.6679,7.7450,acceptable,acceptable,1,0,0,(null)
